Scott Sunderland
Richard Dreyfus
Bruce Geenwood
Benjamin Weir
David Douche
Emmanuel Schotte
Severine
Billy `Green' Bush
Scatman Crother
Julia Anne Robinson
Charles Lavine
Gary Goodrow
Sully Bovar
Helen Kallianiotes
Roger E. Mosley
Woodrow Parfrey
JoAnna Cassidy
John Colicos
Fiona Shaw
Bernard Hill
Richard Grant
Paul Onsongo
Helen Stanton
Arliss Howard
Heather ORourke
Julian Beck
Oliver Robbins
Jenifer Lewis
Phyllis Yvonne Stickney
Vanessa Bell Calloway
Pam Tyson
Joseph GordonLevitt
James Gudolfini
x Constantine
Gordon
Anne Hecht
Christine Lehto
Alfred Molins
Marianne Basler
Philippe Galland
Betty Lynn
Ted deCorsica
Gertrude Flynn
Richard Lupino
Barry Harvey
Louis G. Mercier
Alice Backer
Fred Essler
Lack Lambert
Gage Clarke
Frank Richards
Jimmy Workman
Judith Malina
Elizabeth Wien
Dan Hedaya
Dana Ivey
Christopher Hart
Laurie Wallis
Valerie Wallis
Cal Struyker
Michael . Fox
Anthony Higgins
Isaac Mizrahi
Kaitlyn Hooper
Kristin Hooper
Christian Hanover
Martin W.
Renee Russo
Morgan Freeman?
Martin Ferraro
John Gries
Linda Fiorentino
Salma Havek
Penny Peterson
J.C. Quinn
Gloria LeRoy
Frank Stallone
Stephen Mailer
Uta Hagen
Richard Kiely
Nicholas Cage
Andre Brougher
Virginia Fox
Phylllis Haver
Margaret Leahy
Joe Roberts
Horace Morgan
Joe Keaton
Buster Keaton~jr
Kathryn McGuire
Ward Crane
Joseph Keaton
Ruth Dwyer
Doug E. Doug
Vanessa xx
Jeroen Krabb\'e
Lauren Bacll
Mimi Roger
Brenda Vaccar
John Masrley
Simon McCorkingdale
Josiana Balasko
Gerard Lanvin
Olivia Hack
Shelly Long
Norm McDonald
Julie kavner
Ellen DeGeneres
Paul Reubens
Ellen Perkins
Coleman Triton
Maurice Costello
Kirstie Allen
Christine Pascal
Herbie Hancock
Sandra Reaves Phillips
John Berry
Sabine Azema
Pascale Vignal
Jane Birkin
Mary Wilcox
Lyle Waggoner
Leonie Flugrath
Eldean Stewart
Guido Colucci
Madeline Kahn
Howard Keele
David McLean
Daine Sayer
Salka Steuermamm
Hugh Beaumont
Kathleen Cworlwy
Frankie Thomas
Erich vonStroheim
Peter vanEyck
none
Jean Heather
Byron Barr
Fortuna Bonanova
Edna May Wonnacutt
Freddie Steele
Bob Arthur
Frank Cady
Joan Vohs
Elsa Lancaster
Tom Kennedy
Pamela Tiffin
Horst Bucholz
Hans Lothar
Shirley Maclaine
Hershel Benardi
Bruce Yarnell
Colin Blake
Martha Keller
Chet Baker
Glenn Fitzgerald
Elvis Payne
Mark Wingett
Kathryn Apanowicz
Wendell corey
Kristine Miller
George Riguad
Mike Mazrrki
Denis ODay
Geoffrey Wilson
George MacReady
Virginia Huston
Frederick ONeal
Bob Cornthwaite
Sandra Giglio
Joseph Cotton
Robert Wuhl
Jace Alexander
Sheryl Lee Ralph
Tuesday Knight
Rebecca RomijnStamos
Natalie Uher
Jean Rene Gossart
Hassan Guerera
Gustavo Rodriguez
Tamira
Ben Carruthers
Kathryn x
Hans Marr
Preston Sturges
Glenda Farrel
Guy Kibee
David Niveb
C.Henry Gordon
Carrol Naish
William Haade
Soledad Jiminez
Joe Cunningham
Joseph Crehan
The Dead End Kids
Goerge Bancroft
Edward Pawley
William lundigan
Vera Lewis
Humphret Bogart
Douglas dumbrille
Captain Jack Young
Madeleine Lebeau
Ilka Gruning
Sydney Greenstreet
Dorotjy Malone
Selana Royle
Donald woods
Clarence muse
James Lydon
John Calhoun
Derek Scott
Juano Hernandex
Juan Hernandez
Paule Picerni
Cecil Rathbone
John Brascia
Eddie Hodges
Archie Moore
Olivier Parniere
Bertha Dominguez-D
JeanFrancois Stevenin
Diane Bellego
Sagamore Stevenin
Claire Rushbrook
Rita Tushinham
Michael Beach
Earl Billings
John Matuszak
Bourvil
Carette
Gregoire Aslan
PierreMichel Beck
Nicole Berger
Jean Martinelli
Elaine may
Janet margolin
Dick vanDyke
John Denver
Peter Hobbs
Merv Griffin
Kistie Alley
Robert Lindsay
Liberty mounton
Jami Gertz
Scott Bakula
Ed ONeil
Paula Marshall
Gail OGrady
David Rasche
Jamie Denton
Young
JeanRoger Milo
Renaud
Betty Bronson
William Austin
Jacquline Gadson
Elinor Glynn
Irene Bordoni
Bernice Claire
Mitchell Ryan
John Bubbles
The Nicholas Brothers
Chuck Green
Honi Coles
Edith Head
Bill Ihnen
Lowell Thomas
Sam Fuller
Arthur Miller
Volker Schlondorff
Alwin Nikolais
Murray Louis
Paul Seiler
Lino Brocka
Martha Becket
Eugene Palette
Henry Sanders
Mary Alice
Harry Glover
Richard Brooks
Carol Lumbly
Ethel Ayler
Davis Roberts
Sy Richardson
Devaughn Walter Nixon
Jimmy Witherspoon
Allison Jones
Carl Lumbly
Lorraine Toussaint
Jenny Robertson
Anwar
Michael Schoefling
Lars Hanson
Barbara Kent
John Mack Brown
George F. Marion
James T. Mack
Lee Phelps
Greta Garba
Gavin Gordon
Florence Lake
Skeets Gallagher
Marjorie White
Veree Teasdale
Barton McLane
John Warburton
Brenda Forbes
Jackie Jenkins
Alex Craig
Claude Jarman~jr
David Brina
Charles Kemper
Donna Corcoran
Vanity
Earl Schevk
Bud Jamieson
Leo White
Lloyd Bacon
Albert Austin
Charles Chaplin
Chuck Riesner
Georgia Hale
Allan Garcia
Harry Crocker
Gloria deHavilland
Martha Ray
